"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-09","Canada","2016A000011124","Population","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062818","1.1.2.1.1.1","15368.2","","","","1"
"2020-09","Canada","2016A000011124","Population","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062827","1.1.3.1.1.1","15746.3","","","","1"
"2020-09","Canada","2016A000011124","Labour force","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062819","1.2.2.1.1.1","10789.9","","","","1"
"2020-09","Canada","2016A000011124","Labour force","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062828","1.2.3.1.1.1","9581.8","","","","1"
"2020-09","Canada","2016A000011124","Employment","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062820","1.3.2.1.1.1","9741.5","","","","1"
"2020-09","Canada","2016A000011124","Employment","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062829","1.3.3.1.1.1","8759.9","","","","1"
"2020-09","Canada","2016A000011124","Full-time employment","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062821","1.4.2.1.1.1","8495.9","","","","1"
"2020-09","Canada","2016A000011124","Full-time employment","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062830","1.4.3.1.1.1","6533.4","","","","1"
"2020-09","Canada","2016A000011124","Part-time employment ","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062822","1.5.2.1.1.1","1245.6","","","","1"
"2020-09","Canada","2016A000011124","Part-time employment ","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062831","1.5.3.1.1.1","2226.6","","","","1"
"2020-09","Canada","2016A000011124","Unemployment","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062823","1.6.2.1.1.1","1048.3","","","","1"
"2020-09","Canada","2016A000011124","Unemployment","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062832","1.6.3.1.1.1","821.9","","","","1"
"2020-09","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2062824","1.7.2.1.1.1","9.7","","","","1"
"2020-09","Canada","2016A000011124","Unemployment rate","Females","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2062833","1.7.3.1.1.1","8.6","","","","1"
"2020-09","Canada","2016A000011124","Participation rate","Males","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2062825","1.8.2.1.1.1","70.2","","","","1"
"2020-09","Canada","2016A000011124","Participation rate","Females","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2062834","1.8.3.1.1.1","60.9","","","","1"
"2020-09","Canada","2016A000011124","Employment rate","Males","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2062826","1.9.2.1.1.1","63.4","","","","1"
"2020-09","Canada","2016A000011124","Employment rate","Females","15 years and over","Estimate","Seasonally adjusted","Percentage","242","units","0","v2062835","1.9.3.1.1.1","55.6","","","","1"
"2020-09","Newfoundland and Labrador","2016A000210","Population","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063007","2.1.2.1.1.1","218.7","","","","1"
"2020-09","Newfoundland and Labrador","2016A000210","Population","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063016","2.1.3.1.1.1","226.7","","","","1"
"2020-09","Newfoundland and Labrador","2016A000210","Labour force","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063008","2.2.2.1.1.1","135.0","","","","1"
"2020-09","Newfoundland and Labrador","2016A000210","Labour force","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063017","2.2.3.1.1.1","122.5","","","","1"
"2020-09","Newfoundland and Labrador","2016A000210","Employment","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063009","2.3.2.1.1.1","109.1","","","","1"
"2020-09","Newfoundland and Labrador","2016A000210","Employment","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063018","2.3.3.1.1.1","109.5","","","","1"
"2020-09","Newfoundland and Labrador","2016A000210","Full-time employment","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063010","2.4.2.1.1.1","96.4","","","","1"
"2020-09","Newfoundland and Labrador","2016A000210","Full-time employment","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063019","2.4.3.1.1.1","87.4","","","","1"
"2020-09","Newfoundland and Labrador","2016A000210","Part-time employment ","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063011","2.5.2.1.1.1","12.7","","","","1"
"2020-09","Newfoundland and Labrador","2016A000210","Part-time employment ","Females","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063020","2.5.3.1.1.1","22.1","","","","1"
"2020-09","Newfoundland and Labrador","2016A000210","Unemployment","Males","15 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063012","2.6.2.1.1.1","25.9","","","","1"
